period,qty,fobvalue,avg_price_per_kg,num_shipments
202202,204.13400000000001,7121.5560000000005,74.23129220371445,2
202203,180.0,4057.208,22.540044444444444,1
202205,180.0,3845.997,21.36665,1
202207,41.0,2964.0,89.04652258064516,2
202209,9.445,1072.579,113.56050820539967,1
202211,5.25,756.934,144.17790476190476,1
202212,120.0,2946.194,24.551616666666668,1
202301,100.0,2392.572,23.925720000000002,1
202302,253.956,8073.144,55.33264931159343,2
202303,37.0,2145.862,57.99627027027027,1
202304,1260.0,39314.574,29.280990340909092,2
202305,60.0,1603.528,26.725466666666666,1
202307,240.0,6239.273,25.996970833333332,1
202308,31.492,3470.111,110.190238790804,1
202311,16.0,455.596,28.47475,1
202312,181.0,4672.807,38.401080645161294,2
202401,1125.0,67260.449,52.087176499068775,2
202402,240.0,6919.365,28.8306875,1
202404,127.0,13428.704,105.73782677165354,1
202405,360.0,5893.745,16.371513888888888,1
202407,841.0,22033.239999999998,26.696055612174156,2
202409,690.0,14564.257,20.686126984126986,2
202412,240.0,6608.463,27.535262499999998,1
202501,30.0,1757.939,58.59796666666667,1
202504,400.0,8962.189,22.405472500000002,1
202506,283.0,37622.059,96.82571490909092,2
